species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-000354,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leiothlypis peregrina,Leiothlypis peregrina,SPECIES,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,GBIF,GBIF Backbone:7415507.0,3,2,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000355,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lepidoptera,Lepidoptera,,Animalia,Arthropoda,Insecta,Lepidoptera,,,Naturalista,Naturalista/iNaturalist taxonomy:47157,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000356,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leptophis leptophis mexicanus,Leptophis Leptophis mexicanus,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptophis,SNIB,SNIB/CONABIO valid taxonomy:leptophis leptophis mexicanus,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,Amenazada (A),Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000358,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leptotila leptotila jamaicensis,Leptotila Leptotila jamaicensis,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,SNIB,SNIB/CONABIO valid taxonomy:leptotila leptotila jamaicensis,11,9,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,Cuasiendémica,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000359,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leptotila leptotila verreauxi,Leptotila Leptotila verreauxi,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,SNIB,SNIB/CONABIO valid taxonomy:leptotila leptotila verreauxi,8,7,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000357,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leptotila jamaicensis,Leptotila jamaicensis,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,GBIF,GBIF Backbone:2496098.0,8,5,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000360,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leptotila verreauxi,Leptotila verreauxi,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,GBIF,GBIF Backbone:2496060.0,9,7,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000361,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leucaena leucocephala,Leucaena leucocephala,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,,Naturalista,Naturalista/iNaturalist taxonomy:47447,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000363,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leucophaeus leucophaeus atricilla,Leucophaeus Leucophaeus atricilla,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,SNIB,SNIB/CONABIO valid taxonomy:leucophaeus leucophaeus atricilla,307,174,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC) (En IUCN Red List 2025-1 como Larus atricilla (ver relaciones de sinonimia).),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000362,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,leucophaeus atricilla,Leucophaeus atricilla,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,GBIF; Naturalista,GBIF Backbone:6065844.0; Naturalista/iNaturalist taxonomy:144514,52,34,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx; Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
