species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002213,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptoconchus,Cryptoconchus,Genus,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptoconchus,OBIS,WoRMS/OBIS:152815,4,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002214,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptoconchus burrow 1815,"Cryptoconchus Burrow, 1815",GENUS,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptoconchus,GBIF,GBIF Backbone:5193720.0,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002215,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptoconchus cryptoconchus floridanus,Cryptoconchus Cryptoconchus floridanus,species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptoconchus,SNIB,SNIB/CONABIO valid taxonomy:cryptoconchus cryptoconchus floridanus,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002216,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptoconchus floridanus,Cryptoconchus floridanus,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptoconchus,GBIF; OBIS,GBIF Backbone:5193723.0; WoRMS/OBIS:386549,25,17,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002217,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptophyceae,Cryptophyceae,CLASS,Chromista,Cryptophyta,Cryptophyceae,,,Cryptophyceae,GBIF; OBIS; SNIB,GBIF Backbone:257.0; WoRMS/OBIS:17639; SNIB/CONABIO valid taxonomy:cryptophyceae,9,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002218,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptophyta,Cryptophyta,PHYLUM,Chromista,Cryptophyta,,,,Cryptophyta,GBIF; OBIS; SNIB,GBIF Backbone:69.0; WoRMS/OBIS:17638; SNIB/CONABIO valid taxonomy:cryptophyta,36,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002219,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptosoma balguerii,Cryptosoma balguerii,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Cryptosoma,GBIF,GBIF Backbone:5178373.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002220,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptotomus,Cryptotomus,Genus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Cryptotomus,OBIS; SNIB,WoRMS/OBIS:204245; SNIB/CONABIO valid taxonomy:cryptotomus,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002221,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptotomus cope 1871,"Cryptotomus Cope, 1871",GENUS,Animalia,Chordata,,Perciformes,Scaridae,Cryptotomus,GBIF,GBIF Backbone:2393550.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002222,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cryptotomus cryptotomus auropunctatus,Cryptotomus Cryptotomus auropunctatus,,,,,,Labridae,Cryptotomus,SNIB,SNIB/CONABIO valid taxonomy:cryptotomus cryptotomus auropunctatus,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
