species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002702,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium multistriatum,Epitonium multistriatum,SPECIES,Animalia,Mollusca,Gastropoda,,Epitoniidae,Epitonium,GBIF,GBIF Backbone:2300606.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002703,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium novangliae,Epitonium novangliae,SPECIES,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,GBIF; OBIS,GBIF Backbone:2300617.0; WoRMS/OBIS:160297,11,9,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002704,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium pigrum,Epitonium pigrum,SPECIES,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,GBIF; OBIS,GBIF Backbone:6493986.0; WoRMS/OBIS:585226,9,5,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002705,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,eques eques lanceolatus,Eques Eques lanceolatus,species,Animalia,Chordata,Actinopteri,Acanthuriformes,Sciaenidae,Eques,SNIB,SNIB/CONABIO valid taxonomy:eques eques lanceolatus,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,Preocupación menor (LC) (En IUCN Red List 2025-1 como Equetus lanceolatus (ver relaciones de sinonimia).),,,,,,source_authority_resolved,source_traceable
SP-002706,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,eques lanceolatus,Eques lanceolatus,Species,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Eques,OBIS,WoRMS/OBIS:1389965,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002707,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,equetus lanceolatus,Equetus lanceolatus,SPECIES,Animalia,Chordata,,Perciformes,Sciaenidae,Equetus,GBIF,GBIF Backbone:2399845.0,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002708,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,eretmochelys eretmochelys imbricata,Eretmochelys Eretmochelys imbricata,species,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,SNIB,SNIB/CONABIO valid taxonomy:eretmochelys eretmochelys imbricata,5,5,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,En peligro de extinción (P),En peligro crítico (CR),Apéndice I,DOF 2014,,,coordinate_uncertainty_gt_10km,source_authority_resolved,source_traceable
SP-002709,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,eretmochelys imbricata,Eretmochelys imbricata,Species,Animalia,Chordata,Testudines,Testudines,Cheloniidae,Eretmochelys,GBIF; OBIS,GBIF Backbone:8841716.0; WoRMS/OBIS:137207,5,5,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,CR,,,,,coordinate_uncertainty_gt_10km,source_authority_resolved,source_traceable
SP-002710,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ericerodes gracilipes,Ericerodes gracilipes,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Ericerodes,GBIF,GBIF Backbone:5971090.0,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002711,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,erichthonius erichthonius difformis,Erichthonius Erichthonius difformis,,,,,,Corophiidae,Erichthonius,SNIB,SNIB/CONABIO valid taxonomy:erichthonius erichthonius difformis,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002712,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ericthonius,Ericthonius,Genus,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,OBIS,WoRMS/OBIS:101567,4,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002715,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ericthonius ericthonius brasiliensis,Ericthonius Ericthonius brasiliensis,species,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,SNIB,SNIB/CONABIO valid taxonomy:ericthonius ericthonius brasiliensis,4,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,Exótica,possible_cross_source_duplicate,source_authority_resolved,source_traceable
