species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-006831,RBBK,Reserva de la Biosfera Balam Kú,anthracothorax anthracothorax veraguensis prevostii,Anthracothorax Anthracothorax veraguensis prevostii,,,,,,Trochilidae,Anthracothorax,SNIB,SNIB/CONABIO valid taxonomy:anthracothorax anthracothorax veraguensis prevostii,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006832,RBBK,Reserva de la Biosfera Balam Kú,anthracothorax prevostii,Anthracothorax prevostii,SPECIES,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,GBIF; Naturalista,GBIF Backbone:2476722.0; Naturalista/iNaturalist taxonomy:5798.0,32,17,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx; Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006833,RBBK,Reserva de la Biosfera Balam Kú,anthurium anthurium schlechtendalii,Anthurium Anthurium schlechtendalii,species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,SNIB,SNIB/CONABIO valid taxonomy:anthurium anthurium schlechtendalii,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006834,RBBK,Reserva de la Biosfera Balam Kú,anthus anthus rubescens rubescens subespecie,Anthus Anthus rubescens rubescens subespecie,species,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,SNIB,SNIB/CONABIO valid taxonomy:anthus anthus rubescens rubescens subespecie,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-006835,RBBK,Reserva de la Biosfera Balam Kú,anthus rubescens,Anthus rubescens,SUBSPECIES,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,GBIF,GBIF Backbone:2490263.0,1,1,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006836,RBBK,Reserva de la Biosfera Balam Kú,antigonon antigonon leptopus,Antigonon Antigonon leptopus,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Antigonon,SNIB,SNIB/CONABIO valid taxonomy:antigonon antigonon leptopus,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006837,RBBK,Reserva de la Biosfera Balam Kú,antigonon leptopus,Antigonon leptopus,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Antigonon,GBIF; Naturalista,GBIF Backbone:2889355.0; Naturalista/iNaturalist taxonomy:48380.0,2,2,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx; Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006838,RBBK,Reserva de la Biosfera Balam Kú,antricola antricola mexicanus,Antricola Antricola mexicanus,species,Animalia,Arthropoda,Arachnida,Ixodida,Argasidae,Antricola,SNIB,SNIB/CONABIO valid taxonomy:antricola antricola mexicanus,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006839,RBBK,Reserva de la Biosfera Balam Kú,antrostomus antrostomus badius,Antrostomus Antrostomus badius,species,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,SNIB,SNIB/CONABIO valid taxonomy:antrostomus antrostomus badius,14,13,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC),,,Semiendémica,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006840,RBBK,Reserva de la Biosfera Balam Kú,antrostomus badius,Antrostomus badius,SPECIES,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,GBIF,GBIF Backbone:6101179.0,15,11,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006841,RBBK,Reserva de la Biosfera Balam Kú,apanteles apanteles deplanatus,Apanteles Apanteles deplanatus,species,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Apanteles,SNIB,SNIB/CONABIO valid taxonomy:apanteles apanteles deplanatus,135,24,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006842,RBBK,Reserva de la Biosfera Balam Kú,apanteles deplanatus,Apanteles deplanatus,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Apanteles,GBIF,GBIF Backbone:1267928.0,135,24,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006843,RBBK,Reserva de la Biosfera Balam Kú,apatelodes apatelodes torrefacta,Apatelodes Apatelodes torrefacta,species,Animalia,Arthropoda,Insecta,Lepidoptera,Apatelodidae,Apatelodes,SNIB,SNIB/CONABIO valid taxonomy:apatelodes apatelodes torrefacta,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006844,RBBK,Reserva de la Biosfera Balam Kú,apatelodes torrefacta,Apatelodes torrefacta,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Apatelodidae,Hygrochroa,GBIF,GBIF Backbone:10100176.0,3,2,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006845,RBBK,Reserva de la Biosfera Balam Kú,apatelodidae,Apatelodidae,,Animalia,Arthropoda,Insecta,Lepidoptera,Apatelodidae,,Naturalista,Naturalista/iNaturalist taxonomy:783235.0,2,2,Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006846,RBBK,Reserva de la Biosfera Balam Kú,apedilum apedilum elachistus,Apedilum Apedilum elachistus,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Apedilum,SNIB,SNIB/CONABIO valid taxonomy:apedilum apedilum elachistus,17,6,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006847,RBBK,Reserva de la Biosfera Balam Kú,apedilum elachistum,Apedilum elachistum,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Apedilum,GBIF,GBIF Backbone:1454980.0,17,6,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006848,RBBK,Reserva de la Biosfera Balam Kú,aphelandra aphelandra scabra,Aphelandra Aphelandra scabra,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,SNIB,SNIB/CONABIO valid taxonomy:aphelandra aphelandra scabra,6,6,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
